Time,System_name,Capacity,Electricity,GPS,Tx Count,Temperature,Pressure,Power,Sat_valid
2025-04-09T23:01:37Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.59hPa,4.57V,00S
2025-04-09T23:01:39Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.50hPa,4.57V,00S
2025-04-09T23:01:42Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.53hPa,4.55V,00S
2025-04-09T23:01:44Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.59hPa,4.54V,00S
2025-04-09T23:01:46Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.55hPa,4.55V,00S
2025-04-09T23:01:48Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.51hPa,4.55V,00S
2025-04-09T23:01:50Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.49hPa,4.55V,00S
2025-04-09T23:01:52Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.49hPa,4.55V,00S
2025-04-09T23:01:54Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.52hPa,4.55V,00S
2025-04-09T23:01:56Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.54hPa,4.55V,00S
2025-04-09T23:01:59Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.55hPa,4.55V,00S
2025-04-09T23:02:01Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:03Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:05Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:07Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:09Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:11Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:13Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:15Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:18Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:20Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:22Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:24Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:26Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:28Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:30Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:32Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:34Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:37Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:39Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:41Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:43Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:45Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:47Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.55V,00S
2025-04-09T23:02:49Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.57hPa,4.52V,00S
2025-04-09T23:02:51Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.43hPa,4.57V,00S
2025-04-09T23:02:53Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.53hPa,4.59V,00S
2025-04-09T23:02:55Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.56hPa,4.55V,00S
2025-04-09T23:02:58Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.52hPa,4.57V,00S
2025-04-09T23:03:00Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.52hPa,4.57V,00S
2025-04-09T23:03:02Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.52hPa,4.55V,00S
2025-04-09T23:03:04Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.55hPa,4.55V,00S
2025-04-09T23:03:06Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.57hPa,4.55V,00S
2025-04-09T23:03:08Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.51hPa,4.55V,00S
2025-04-09T23:03:10Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.57hPa,4.55V,00S
2025-04-09T23:03:12Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.49hPa,4.59V,00S
2025-04-09T23:03:14Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.54hPa,4.57V,00S
2025-04-09T23:03:17Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.46hPa,4.55V,00S
2025-04-09T23:03:19Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.70C,1005.54hPa,4.55V,00S
2025-04-09T23:03:21Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.59hPa,4.55V,00S
2025-04-09T23:03:23Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.50hPa,4.55V,00S
2025-04-09T23:03:25Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.54hPa,4.57V,00S
2025-04-09T23:03:27Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.53hPa,4.55V,00S
2025-04-09T23:03:29Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.53hPa,4.57V,00S
2025-04-09T23:03:31Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.58hPa,4.55V,00S
2025-04-09T23:03:34Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.53hPa,4.55V,00S
2025-04-09T23:03:36Z,desperado1,3875.0,86.349942,000/000/A=000000,001TxC,27.80C,1005.56hPa,4.55V,00S
